,,surname_score,given_name_score,age_score,city_score,years_since_census,is_cambridge,cardinal_prefix,is_match
186,1880451,1.0,0.8888888888888888,0.75,0.5714285714285715,0,0,0,0
186,2345750,1.0,0.6666666666666667,1.0,0.9142857142857144,0,0,0,1
186,2697685,1.0,0.7777777777777778,1.0,0.9142857142857144,0,0,0,1
192,2727190,1.0,0.2727272727272727,1.0,1.0,0,0,0,0
867,138228,1.0,0.6666666666666667,1.0,0.6767676767676768,6,0,0,1
867,1370422,1.0,0.8571428571428572,1.0,0.42424242424242414,6,0,0,0
867,1861156,1.0,1.0,1.0,0.9636363636363636,6,0,0,1
867,1868241,1.0,0.4444444444444444,1.0,0.9636363636363636,6,0,0,0
868,1951466,1.0,0.625,1.0,0.4111111111111112,6,0,0,0
195,804885,1.0,1.0,0.75,0.6,0,0,0,1
195,1386424,1.0,0.125,1.0,0.8962962962962964,0,0,0,0
875,1573523,1.0,1.0,1.0,0.8955555555555555,6,0,0,1
876,1255594,1.0,0.125,1.0,0.96,6,0,0,0
876,1266827,1.0,1.0,0.75,0.96,6,0,0,1
202,2744231,1.0,0.9090909090909092,0.75,1.0,0,0,0,1
206,2870766,1.0,1.0,1.0,0.3932461873638344,0,0,0,0
208,1623570,1.0,0.8571428571428572,1.0,0.4259259259259259,0,0,0,0
208,1906357,1.0,0.8571428571428572,1.0,0.4120370370370369,0,0,0,0
208,2072774,1.0,0.8571428571428572,1.0,0.5026455026455027,0,0,0,0
212,772397,1.0,0.4285714285714286,1.0,0.6666666666666666,0,0,0,0
213,2350154,1.0,1.0,0.75,0.9142857142857144,0,0,0,1
223,1373712,1.0,0.8888888888888888,1.0,1.0,0,0,0,1
225,1174227,1.0,0.6,0.5,1.0,0,0,0,0
232,1526992,1.0,0.75,1.0,0.4777777777777778,0,0,0,0
232,3009632,1.0,1.0,0.75,0.5444444444444444,0,0,0,0
233,2452719,1.0,1.0,1.0,0.0,0,1,0,1
942,2537775,1.0,0.7777777777777778,1.0,0.3932461873638344,6,1,1,1
942,3684399,1.0,0.8888888888888888,1.0,0.3504901960784314,6,0,1,0
234,236198,1.0,0.8333333333333334,1.0,0.4365079365079365,0,0,0,1
234,272111,1.0,0.8333333333333334,0.75,0.6428571428571429,0,0,0,0
234,1094301,1.0,0.8333333333333334,1.0,0.4226190476190476,0,0,0,0
234,1415467,1.0,0.8333333333333334,1.0,0.5026455026455027,0,0,0,0
234,1588151,1.0,0.8333333333333334,1.0,0.4952380952380953,0,0,0,0
234,1828205,1.0,0.8333333333333334,0.75,0.7460317460317459,0,0,0,0
234,1901407,1.0,0.375,1.0,0.671957671957672,0,0,0,0
234,2729252,1.0,0.6666666666666667,1.0,0.5238095238095238,0,0,0,0
234,2749170,1.0,0.6666666666666667,1.0,0.4365079365079365,0,0,0,0
520,73280,1.0,0.6666666666666667,0.75,0.5909090909090909,0,0,1,1
520,152349,1.0,0.33333333333333337,1.0,0.5909090909090909,0,0,1,0
520,317093,1.0,0.8888888888888888,0.75,0.5909090909090909,0,0,1,1
520,606658,1.0,0.8888888888888888,1.0,0.5909090909090909,0,0,1,1
520,607978,1.0,0.3636363636363637,1.0,0.5909090909090909,0,0,1,0
520,756442,1.0,0.7777777777777778,1.0,0.5909090909090909,0,0,1,1
520,1094304,1.0,0.8888888888888888,0.75,0.537878787878788,0,0,1,0
520,1213930,1.0,1.0,0.5,0.5909090909090909,0,0,1,0
520,1319455,1.0,0.7777777777777778,0.75,0.5909090909090909,0,0,1,1
520,1527245,1.0,1.0,0.75,0.4191919191919192,0,0,1,0
520,1563774,1.0,0.7777777777777778,1.0,0.4772727272727273,0,0,1,0
520,2186815,1.0,1.0,1.0,0.4006734006734007,0,1,1,1
520,3104993,1.0,0.7777777777777778,1.0,0.4606060606060606,0,0,1,0
520,3143569,1.0,0.4444444444444444,1.0,0.6198593073593073,0,0,1,0
520,3842289,1.0,0.8888888888888888,1.0,0.4006734006734007,0,0,1,0
1385,4472,1.0,0.16666666666666666,1.0,0.8962962962962964,6,0,0,0
1385,4764,1.0,0.6666666666666667,0.75,0.8962962962962964,6,0,0,0
1385,12951,1.0,0.11111111111111116,1.0,0.8962962962962964,6,0,0,0
1385,20743,1.0,0.2222222222222222,1.0,0.8962962962962964,6,0,0,0
1385,385030,1.0,0.8333333333333334,0.75,0.6777777777777777,6,0,0,0
1385,634127,1.0,0.1428571428571429,1.0,0.8962962962962964,6,0,0,0
1385,1360847,1.0,0.2857142857142857,1.0,0.8962962962962964,6,0,0,0
1385,1377642,1.0,0.33333333333333337,1.0,0.8962962962962964,6,0,0,0
1385,1417469,1.0,0.18181818181818174,1.0,0.8962962962962964,6,0,0,0
1385,1440381,1.0,0.375,0.75,0.8962962962962964,6,0,0,0
1385,2158322,1.0,0.6666666666666667,1.0,0.5111111111111111,6,0,0,1
242,1987481,1.0,0.5555555555555556,1.0,0.5670995670995671,0,0,0,0
242,3305704,1.0,0.25,1.0,0.9393939393939394,0,0,0,0
242,3807791,1.0,0.875,1.0,0.9393939393939394,0,0,0,1
